season,team,avg_age_toi,pct_under_25,pct_over_32,pts_top1_share,pts_top3_share,pts_top6_share,pts_gini,toi_gini,toi_top4D_avg,goalie_top_start_pct,goalie_sv_pct,pp_pct,pk_pct,shots_for_pg,shots_against_pg,team_points,games_played,cap_hit_total,cap_pct_ceiling,cap_hit_top1,cap_top1_share,cap_top3_share,cap_gini,cap_fwd_pct,cap_def_pct,cap_goalie_pct
20172018,PHI,26.330668921978834,0.44130301167793484,0.08543331284572833,0.14285714285714285,0.3782312925170068,0.5986394557823129,0.5481481481481483,0.35001409470423295,20.832759166666666,0.4339622641509434,,0.198581,0.762097,31.57954,29.90909,102.0,88.0,,,,,,,,,
20172018,PIT,27.541738598810966,0.20681551116333724,0.024676850763807285,0.12600229095074456,0.3631156930126002,0.581901489117984,0.5860399807855745,0.42747336413511916,21.195359999999997,0.6263736263736264,,0.256578,0.803987,33.74468,30.55319,112.0,94.0,,,,,,,,,
20172018,STL,27.367616438747884,0.3486506199854121,0.2224653537563822,0.12367491166077739,0.34452296819787986,0.5830388692579506,0.5416830257819658,0.4056088438641887,22.30699291666667,0.6829268292682927,,,,,,,,,,,,,,,,
20172018,SJS,28.158642094078687,0.2985811227637261,0.20481184454040716,0.09414758269720101,0.2811704834605598,0.4770992366412214,0.418770796633392,0.35574575708381406,21.749500416666667,0.7608695652173914,,,,,,,,,,,,,,,,
20172018,TBL,26.80651438332992,0.36133960047003527,0.15569917743830788,0.12942477876106195,0.3329646017699115,0.5575221238938053,0.49846834581347843,0.34582745872891807,23.33005375,0.7788461538461539,,,,,,,,,,,,,,,,
20172018,TOR,27.105330831153683,0.42201834862385323,0.17889908256880735,0.08955223880597014,0.2537313432835821,0.46039035591274396,0.4788748564867966,0.3624978746617993,21.992244166666662,0.8202247191011236,,0.251046,0.801588,31.8764,33.94382,111.0,89.0,,,,,,,,,
20172018,VAN,27.178715424165436,0.46134020618556704,0.17590206185567012,0.09717314487632508,0.2826855123674912,0.4752650176678445,0.4909519220473284,0.3530158648256072,20.917189166666667,0.6951219512195121,,0.214574,0.782609,30.04878,32.20731,73.0,82.0,,,,,,,,,
20172018,VGK,27.34514628650832,0.20253894979803808,0.11482977495672245,0.12466487935656836,0.3351206434316354,0.5589812332439679,0.5545129579982127,0.43445436666017967,21.09326583333333,0.6470588235294118,,,,,,,,,,,,,,,,
20172018,WSH,28.00012385045247,0.2275449101796407,0.11486118671747414,0.12806236080178174,0.3596881959910913,0.5957683741648107,0.5763766223792335,0.4424672186519403,22.614562499999998,0.7169811320754716,,,,,,,,,,,,,,,,
20172018,WPG,26.383893192093495,0.5119490175252257,0.1088688263409453,0.12095032397408208,0.2958963282937365,0.5064794816414687,0.49985601151907844,0.3594092472509056,22.038358749999997,0.8181818181818182,,,,,,,,,,,,,,,,
20182019,ANA,26.499483176492127,0.41641104294478526,0.1280674846625767,0.10126582278481013,0.28270042194092826,0.4978902953586498,0.5712611345522738,0.4790552857892276,21.696034583333336,0.6404494382022472,,0.169811,0.797048,27.69512,33.2317,80.0,82.0,,,,,,,,,
20182019,ARI,26.506964816980126,0.4089012517385257,0.09874826147426982,0.08851224105461393,0.24858757062146894,0.4500941619585687,0.403292181069959,0.324276549434118,21.175820416666667,0.6111111111111112,,0.16279,0.849558,30.7439,30.81707,86.0,82.0,,,,,,,,,
20182019,BOS,27.348430763120547,0.36363636363636365,0.18484848484848485,0.13085106382978723,0.3393617021276596,0.5659574468085107,0.5936761229314422,0.4268701247605269,21.677901249999998,0.6509433962264151,,0.273846,0.817892,32.66981,29.81132,137.0,106.0,,,,,,,,,
20182019,BUF,25.237212736194184,0.50265604249668,0.05776892430278884,0.13333333333333333,0.34146341463414637,0.5398373983739837,0.5427100271002709,0.39687997800867336,22.46804541666667,0.5853658536585366,,0.194915,0.809303,32.89024,32.9756,76.0,82.0,,,,,,,,,
20182019,CGY,26.257715975242,0.45229244114002476,0.051425030978934326,0.1218026796589525,0.3215590742996346,0.5724725943970768,0.5721582649011827,0.4363325451013098,21.905564166666668,0.5172413793103449,,,,,,,,,,,,,,,,
20182019,CAR,25.37387853236811,0.502301495972382,0.05581127733026467,0.1227390180878553,0.31136950904392763,0.49483204134366926,0.5175977902521607,0.42691598506885553,21.779110833333334,0.5257731958762887,,0.163879,0.793104,33.80412,28.41237,115.0,97.0,,,,,,,,,
20182019,CHI,26.910577242972856,0.47673634524612274,0.14565070802427513,0.15089163237311384,0.3662551440329218,0.5912208504801097,0.5530570252792475,0.37412837181905667,21.046912916666667,0.47560975609756095,,0.20168,0.727273,32.54878,34.78048,84.0,82.0,,,,,,,,,
20182019,COL,25.98917474596602,0.4419024683925346,0.056592414208308246,0.1415929203539823,0.37420986093552466,0.5802781289506953,0.5894539374413768,0.464477735570461,20.748915,0.5212765957446809,,0.166666,0.848889,31.65217,29.90217,110.0,92.0,,,,,,,,,
20182019,CBJ,25.870475738117868,0.37170675830469646,0.0418098510882016,0.11680572109654351,0.29201430274135876,0.5029797377830751,0.5767019561102154,0.46547605899256483,22.764694583333334,0.7717391304347826,,,,,,,,,,,,,,,,
20182019,DAL,27.48308309542017,0.3243540406816932,0.2468389224848818,0.13093525179856116,0.339568345323741,0.5280575539568345,0.5921262989608314,0.4523634918606807,22.973294166666665,0.6105263157894737,,0.212,0.843637,30.78947,32.0421,107.0,95.0,,,,,,,,,
20182019,DET,28.078646814010654,0.4621461487820935,0.23304805793285055,0.12586206896551724,0.3017241379310345,0.5051724137931034,0.5551724137931036,0.3872062647603851,20.889661666666665,0.6341463414634146,,0.180555,0.771429,29.19512,33.67073,74.0,82.0,,,,,,,,,
